epoch,train_loss,val_loss,train_iou,val_iou
1,0.6119099512696267,0.3075647240877151,0.69099605,0.8433125
2,0.24773558204372723,0.1578845046957334,0.87420934,0.9226116
3,0.1794113089889288,0.15323796848456064,0.9087608,0.91950965
4,0.14663196068257092,0.11327081491549809,0.925787,0.9408095
5,0.12942352277537186,0.10227684408426285,0.9339411,0.9491329
6,0.11640440105150143,0.09282501747210821,0.94025123,0.9519854
7,0.10621773888667424,0.0904185461004575,0.94515216,0.95403767
8,0.09701669609795015,0.0902497103313605,0.9499178,0.95303226
9,0.09837333572407564,0.08992083877325058,0.9487245,0.9516338
10,0.09516052833447854,0.08012447948257129,0.95099306,0.958403
